Div,Form,Spreadsheet,#,Slug,Done,Checked,Embed Standings,Display Standings,Promotion Scheme,To copy to website
A1,https://docs.google.com/forms/d/e/1FAIpQLScDwuGVtc7A3FUwRn46vZHhf3p21NnGzVGPqP-ECl3Q0rulAQ/viewform,https://docs.google.com/spreadsheets/d/1A1xhnryS0LheJxLk9OSNS1TFVRlVvMJ_IQu8nnDQU_E,6,s49/a1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRRZofCahv75dbDVJJaL5MknLSsu_IEIDLziNtEK5uY5cbhiZ6jEhDVif52U3XfMfG5bAHjdaUaaXGY/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRRZofCahv75dbDVJJaL5MknLSsu_IEIDLziNtEK5uY5cbhiZ6jEhDVif52U3XfMfG5bAHjdaUaaXGY/pubhtml,TRUE,"<div id=""A1"" class=""current-standings filterDiv divA""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRRZofCahv75dbDVJJaL5MknLSsu_IEIDLziNtEK5uY5cbhiZ6jEhDVif52U3XfMfG5bAHjdaUaaXGY/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B1,https://docs.google.com/forms/d/e/1FAIpQLSca9BB2Zit5LBb8VNztd_KQQ6QFW9Lt5NrYkuok_I9FrSAOyg/viewform,https://docs.google.com/spreadsheets/d/1v_j6OnRqeahThIYamMvjG8Hb2Fv8H9HE1ZzfIycmol0,7,s49/b1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTnQT6xCMaDZuywoQBFxC0rafzLXPjCKbGV7jvHYlgqW5dC5F_7NJBnDH3hPGf4NU08xq3uc8xLIEWs/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTnQT6xCMaDZuywoQBFxC0rafzLXPjCKbGV7jvHYlgqW5dC5F_7NJBnDH3hPGf4NU08xq3uc8xLIEWs/pubhtml,TRUE,"<div id=""B1"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTnQT6xCMaDZuywoQBFxC0rafzLXPjCKbGV7jvHYlgqW5dC5F_7NJBnDH3hPGf4NU08xq3uc8xLIEWs/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
B2,https://docs.google.com/forms/d/e/1FAIpQLScl977re0UaBg2pwZGia-lV6UHlfPXkwlc0YrIJQD34S_Q48Q/viewform,https://docs.google.com/spreadsheets/d/1V4-qdxbRViAD26FdwHhhoEkJxIpst1vXxLQF8OqxSOY,6,s49/b2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSeC2eXboalBOTlLOihO27HraZShM54aqqW4DqmLfah9lmsBd_eQOdYjamhStZex-h6_n5dBfKxV4_n/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSeC2eXboalBOTlLOihO27HraZShM54aqqW4DqmLfah9lmsBd_eQOdYjamhStZex-h6_n5dBfKxV4_n/pubhtml,TRUE,"<div id=""B2"" class=""current-standings filterDiv divB""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSeC2eXboalBOTlLOihO27HraZShM54aqqW4DqmLfah9lmsBd_eQOdYjamhStZex-h6_n5dBfKxV4_n/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C1,https://docs.google.com/forms/d/e/1FAIpQLSfxHsXVjXCCuQZlXAWhEzaDfP7eEdmC6pNioGLTSxyidTr1Pg/viewform,https://docs.google.com/spreadsheets/d/110_p8QtwYu8W-gdCUnLQXrJRYipPiBCcd02cIyy5yxQ,7,s49/c1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTJFEJrn9znZ2sdmQ7phWqKFj6VD0jhWz_2IMmRrVldf1noYpOsKSIg9RvPi09-jw2d52nLPMXUvtAF/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTJFEJrn9znZ2sdmQ7phWqKFj6VD0jhWz_2IMmRrVldf1noYpOsKSIg9RvPi09-jw2d52nLPMXUvtAF/pubhtml,TRUE,"<div id=""C1"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTJFEJrn9znZ2sdmQ7phWqKFj6VD0jhWz_2IMmRrVldf1noYpOsKSIg9RvPi09-jw2d52nLPMXUvtAF/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C2,https://docs.google.com/forms/d/e/1FAIpQLSdEYyV3yVsfiqBUkFGjJ7xUAi_VB4zwZfuSu5p6rKTzJ_HCkQ/viewform,https://docs.google.com/spreadsheets/d/1MsGJEoSNZBb_8KUOrdgBZiFRGQGNi9Y44oTLlvH3_5M,7,s49/c2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSPldE6_iXNpLoDLOZLI1vm40Wwgz7sSdSEwWEeFCLqP1hRgg2KedYTguD1d2x2iCY4cR_spGjA7bdS/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSPldE6_iXNpLoDLOZLI1vm40Wwgz7sSdSEwWEeFCLqP1hRgg2KedYTguD1d2x2iCY4cR_spGjA7bdS/pubhtml,TRUE,"<div id=""C2"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSPldE6_iXNpLoDLOZLI1vm40Wwgz7sSdSEwWEeFCLqP1hRgg2KedYTguD1d2x2iCY4cR_spGjA7bdS/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C3,https://docs.google.com/forms/d/e/1FAIpQLSfreR2tXNYWbfA1y90dmJ_l_dCSPE865tZSqivuoQwbsPBuLA/viewform,https://docs.google.com/spreadsheets/d/1QbVN1XgZoNevdKHp_0qNxibfTkvab90agecJaRsko7w,6,s49/c3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQjDx4tbd2vEw6hU68R5AatxX-1wrOMCyYjwE0sJ3L0Fg-L2weZL46cXZa3AdIA4n0ianhKJYvX6y9L/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQjDx4tbd2vEw6hU68R5AatxX-1wrOMCyYjwE0sJ3L0Fg-L2weZL46cXZa3AdIA4n0ianhKJYvX6y9L/pubhtml,TRUE,"<div id=""C3"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQjDx4tbd2vEw6hU68R5AatxX-1wrOMCyYjwE0sJ3L0Fg-L2weZL46cXZa3AdIA4n0ianhKJYvX6y9L/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
C4,https://docs.google.com/forms/d/e/1FAIpQLSekRfGoXWa2I_RBwrCXVGFEjWR23gTPiWC6Tq5jG6VYs5S0KQ/viewform,https://docs.google.com/spreadsheets/d/1uZ4s5zCmaWp6Z8ndeKa3140xCuxQ4XTD3RStr-_ge7o,6,s49/c4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSq0-_mUAeMXqA3O7sMFXOXkOVEdC2rf3FlvHkxGaJgmCwHggYlUNAngfa9X5pO14VVD2DgGGfWwFCr/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSq0-_mUAeMXqA3O7sMFXOXkOVEdC2rf3FlvHkxGaJgmCwHggYlUNAngfa9X5pO14VVD2DgGGfWwFCr/pubhtml,TRUE,"<div id=""C4"" class=""current-standings filterDiv divC""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSq0-_mUAeMXqA3O7sMFXOXkOVEdC2rf3FlvHkxGaJgmCwHggYlUNAngfa9X5pO14VVD2DgGGfWwFCr/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D1,https://docs.google.com/forms/d/e/1FAIpQLSdmirkns-ZVIoJIVBDCIqnuDtvdmtQRy29qPfEAGD82CQ4sYw/viewform,https://docs.google.com/spreadsheets/d/1PvzrWEuouGko5jlMCUtaO2-aOE9AZGtjPMwzStUez6Y,6,s49/d1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR7OnJJZW9Fdp_KkF_ePcBuY5KBZ7Gr_Zez2rHMv3pqMRR391g8JWnX0JC0Qfsll5XaDdkZb4v_r4yc/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vR7OnJJZW9Fdp_KkF_ePcBuY5KBZ7Gr_Zez2rHMv3pqMRR391g8JWnX0JC0Qfsll5XaDdkZb4v_r4yc/pubhtml,TRUE,"<div id=""D1"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vR7OnJJZW9Fdp_KkF_ePcBuY5KBZ7Gr_Zez2rHMv3pqMRR391g8JWnX0JC0Qfsll5XaDdkZb4v_r4yc/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D2,https://docs.google.com/forms/d/e/1FAIpQLSdIcCZO6SR-CQHSB8VtirulBIlcKwcMRjFUMFwZBqNfi1WPuA/viewform,https://docs.google.com/spreadsheets/d/1mzA1fO19N47ofX0x9wo-lxKgWB8AQ9eccfkBcBZCHLo,6,s49/d2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSHTGspLMOgMyil2ag3BpQr3XQOfhkYWdh6g_4UMa8OBEdel0EcKZWg4juZMtL6u5tP1wyOnFvmOuHH/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSHTGspLMOgMyil2ag3BpQr3XQOfhkYWdh6g_4UMa8OBEdel0EcKZWg4juZMtL6u5tP1wyOnFvmOuHH/pubhtml,TRUE,"<div id=""D2"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSHTGspLMOgMyil2ag3BpQr3XQOfhkYWdh6g_4UMa8OBEdel0EcKZWg4juZMtL6u5tP1wyOnFvmOuHH/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D3,https://docs.google.com/forms/d/e/1FAIpQLScUw7owv3bsKxlVTh_iLungyLhopCSmrcYOcj_jEFz0FoKGOg/viewform,https://docs.google.com/spreadsheets/d/1w_OM6VdmXeR2V3v33BkbqKtT24TIrVY1970fL7KioLU,6,s49/d3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSkRE7uIPWtBAE7YUiEvYapsaqsILT2wE-udDN1HgNmzusIylz8rMiEUzoLkSxvlcN87DmskmetsGsd/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSkRE7uIPWtBAE7YUiEvYapsaqsILT2wE-udDN1HgNmzusIylz8rMiEUzoLkSxvlcN87DmskmetsGsd/pubhtml,TRUE,"<div id=""D3"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSkRE7uIPWtBAE7YUiEvYapsaqsILT2wE-udDN1HgNmzusIylz8rMiEUzoLkSxvlcN87DmskmetsGsd/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
D4,https://docs.google.com/forms/d/e/1FAIpQLSd39uFnStBZQcfMHyIYiMxl0k1l6x0zNj_C6niZonlv68Sv9g/viewform,https://docs.google.com/spreadsheets/d/171gCGbJmR-nyo1ufBOOJ7bLk-skDnEpfG7ApLf0hUIk,6,s49/d4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSQBSLkoc6hX4_tlBWg4gjCax_SW6kGfEmeOoWOipu6QqGdOXxypzJ9xhTTR9t1N1iKT0cDvBaIZhHu/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSQBSLkoc6hX4_tlBWg4gjCax_SW6kGfEmeOoWOipu6QqGdOXxypzJ9xhTTR9t1N1iKT0cDvBaIZhHu/pubhtml,TRUE,"<div id=""D4"" class=""current-standings filterDiv divD""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSQBSLkoc6hX4_tlBWg4gjCax_SW6kGfEmeOoWOipu6QqGdOXxypzJ9xhTTR9t1N1iKT0cDvBaIZhHu/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E1,https://docs.google.com/forms/d/e/1FAIpQLSeRsdCEUe20Idk3QhOA7SEoh0MNVE_aix9oQtnSGOiplqSE4w/viewform,https://docs.google.com/spreadsheets/d/1ugG0KiJQAHZTEJyNW4CPM40ftO4TrQ7PK7QihfWjWFY,6,s49/e1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTVAJR4AS-uQgmJ-KAET3-lu0dAiQ1wUIV_SRDAgQ2Yxc_itxXtB0xc7Fpso896LBFVYttG_MQCEFgr/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTVAJR4AS-uQgmJ-KAET3-lu0dAiQ1wUIV_SRDAgQ2Yxc_itxXtB0xc7Fpso896LBFVYttG_MQCEFgr/pubhtml,TRUE,"<div id=""E1"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTVAJR4AS-uQgmJ-KAET3-lu0dAiQ1wUIV_SRDAgQ2Yxc_itxXtB0xc7Fpso896LBFVYttG_MQCEFgr/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E2,https://docs.google.com/forms/d/e/1FAIpQLSd-ygSozDIoQ-5EKQ7RdbhvqR6rF2YYoJxMG_X3uToVCx9zcA/viewform,https://docs.google.com/spreadsheets/d/10FaoKNat7EZs5-WB3zngSgK2yqAyqZ0xME0Mebeda7M,6,s49/e2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQbsScod7_yxRUtwZHBQlb3L-1wudcFI-OZS2PhEEvJBl-RolbBHE7U6T6iNd5rSwyj9ti6X2C1FG8v/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQbsScod7_yxRUtwZHBQlb3L-1wudcFI-OZS2PhEEvJBl-RolbBHE7U6T6iNd5rSwyj9ti6X2C1FG8v/pubhtml,TRUE,"<div id=""E2"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQbsScod7_yxRUtwZHBQlb3L-1wudcFI-OZS2PhEEvJBl-RolbBHE7U6T6iNd5rSwyj9ti6X2C1FG8v/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E3,https://docs.google.com/forms/d/e/1FAIpQLSe_ELlQfvkO7Iy63Dx13YNS33z2zIXMmGEEaPWoM-JFJ6iUkw/viewform,https://docs.google.com/spreadsheets/d/1nmwWa3HEZkB0I4DuqkK56E7wj55-ZK0jwuPxf3cBN4s,6,s49/e3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSIcoDXEstMezZh3ygzn-mpbOWFauZKU2M_3kiOMevtSs0jtaDfa-SGqyBIK3K46MWyDyLotKGMmyly/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSIcoDXEstMezZh3ygzn-mpbOWFauZKU2M_3kiOMevtSs0jtaDfa-SGqyBIK3K46MWyDyLotKGMmyly/pubhtml,TRUE,"<div id=""E3"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSIcoDXEstMezZh3ygzn-mpbOWFauZKU2M_3kiOMevtSs0jtaDfa-SGqyBIK3K46MWyDyLotKGMmyly/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E4,https://docs.google.com/forms/d/e/1FAIpQLSctAX78EcRccoAXVGwjWqYAV-hHlmRS-OFK4hbGtGqA77w2sQ/viewform,https://docs.google.com/spreadsheets/d/1vEfOFm-VuVk1YB0k1OnXttzIroBOwMVXpvwyfXjNR7c,6,s49/e4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRVMo737Fru3PT6tpbp2DmrD1EsBG2WvXy3EahIFDZuP3Kj2ILNpOPDSEjrKYPsgM-wc7datnuAWWxS/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vRVMo737Fru3PT6tpbp2DmrD1EsBG2WvXy3EahIFDZuP3Kj2ILNpOPDSEjrKYPsgM-wc7datnuAWWxS/pubhtml,TRUE,"<div id=""E4"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRVMo737Fru3PT6tpbp2DmrD1EsBG2WvXy3EahIFDZuP3Kj2ILNpOPDSEjrKYPsgM-wc7datnuAWWxS/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E5,https://docs.google.com/forms/d/e/1FAIpQLSe-0CY7m2k0p1TH9Jx59Qcw2hdftf4lRqOZn23oWkz1u51MRQ/viewform,https://docs.google.com/spreadsheets/d/19cflUsKn8EXgvJB1HK7XQayyEoN7jlzHQ8ToQZmLadA,6,s49/e5,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSScY-eLHb4k4RKAKpd1dHBt81b8gdAc1yTuSDrbbR_SCmkgonHy29mEXa6Vo-u9Wz3MC0LcUMOn2P6/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSScY-eLHb4k4RKAKpd1dHBt81b8gdAc1yTuSDrbbR_SCmkgonHy29mEXa6Vo-u9Wz3MC0LcUMOn2P6/pubhtml,TRUE,"<div id=""E5"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSScY-eLHb4k4RKAKpd1dHBt81b8gdAc1yTuSDrbbR_SCmkgonHy29mEXa6Vo-u9Wz3MC0LcUMOn2P6/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E6,https://docs.google.com/forms/d/e/1FAIpQLScatzUpnxdmCZfB1GElkosAvPcjANxNWC50R7XNKXIm8j365A/viewform,https://docs.google.com/spreadsheets/d/1KYCwc34-NXcGmTPytzZubVV4gotcAepWt-dLDYOREeI,6,s49/e6,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQXDHZqOwYnghIv1Cc_I_ENobL3m0Cr3MfO0dmLx3YVOCrDLYfnw0vDxMlmk6thN0wPJBf7kOGAFv-f/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQXDHZqOwYnghIv1Cc_I_ENobL3m0Cr3MfO0dmLx3YVOCrDLYfnw0vDxMlmk6thN0wPJBf7kOGAFv-f/pubhtml,TRUE,"<div id=""E6"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQXDHZqOwYnghIv1Cc_I_ENobL3m0Cr3MfO0dmLx3YVOCrDLYfnw0vDxMlmk6thN0wPJBf7kOGAFv-f/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E7,https://docs.google.com/forms/d/e/1FAIpQLSfy2w_eqceXHWZMUS_2UmC5kF2E2P46YVHwfijCNzMw3wa6mA/viewform,https://docs.google.com/spreadsheets/d/1wN8YMKL8bxThAmuqTzJe_ivRxvxvcp6t2In0vJSwqKE,6,s49/e7,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQepsph_NCOsSG3e9jHc-_z0OjOJx3n_5DRdm1xd0WhoANkVtZaeR32mLzYdJ1vcJs5z4uZR0wfUQaW/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQepsph_NCOsSG3e9jHc-_z0OjOJx3n_5DRdm1xd0WhoANkVtZaeR32mLzYdJ1vcJs5z4uZR0wfUQaW/pubhtml,TRUE,"<div id=""E7"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQepsph_NCOsSG3e9jHc-_z0OjOJx3n_5DRdm1xd0WhoANkVtZaeR32mLzYdJ1vcJs5z4uZR0wfUQaW/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
E8,https://docs.google.com/forms/d/e/1FAIpQLSdxmuDvM00btWWPA3VpQWcbYZOkTCMVKKkDicQdkB8KeF_lKA/viewform,https://docs.google.com/spreadsheets/d/1sKwKkEnnQf2wfRr0qcPh58TimixzqqvjIogoHusc9Ho,6,s49/e8,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSNY7nmwQETuofV4lycem3dq3FqyVO4fwslMGW_4qouUGuUYj-1R8Hu4JJZKkUqg1ZtBlLIgkATH_Mv/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSNY7nmwQETuofV4lycem3dq3FqyVO4fwslMGW_4qouUGuUYj-1R8Hu4JJZKkUqg1ZtBlLIgkATH_Mv/pubhtml,TRUE,"<div id=""E8"" class=""current-standings filterDiv divE""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSNY7nmwQETuofV4lycem3dq3FqyVO4fwslMGW_4qouUGuUYj-1R8Hu4JJZKkUqg1ZtBlLIgkATH_Mv/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
F1,https://docs.google.com/forms/d/e/1FAIpQLSerf1vsKyWDG05L9GgymQ45QcmSzJF3zSI6WQ85ftcfL2qLVA/viewform,https://docs.google.com/spreadsheets/d/14QLehiZWgmi-NZzYdMi715dlYCnkvvRPQJcacW2uvWM,6,s49/f1,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTo5dUyJiKWapE2M-c26o6kfZO82CjPi76R9RqhBL558O89MfwilkV_ofMW14BCsAwo_ZnA7SOza79g/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vTo5dUyJiKWapE2M-c26o6kfZO82CjPi76R9RqhBL558O89MfwilkV_ofMW14BCsAwo_ZnA7SOza79g/pubhtml,TRUE,"<div id=""F1"" class=""current-standings filterDiv divF""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTo5dUyJiKWapE2M-c26o6kfZO82CjPi76R9RqhBL558O89MfwilkV_ofMW14BCsAwo_ZnA7SOza79g/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
F2,https://docs.google.com/forms/d/e/1FAIpQLSdbXnq2fvVSbz_9yyRDZ9Z_dXWaGOndv2vPfxNoUMVPPW2ijg/viewform,https://docs.google.com/spreadsheets/d/1heO_MzFMMlsitA0mdQxW9ZwzkXaZ6VnIuUgwJLIqSvY,6,s49/f2,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT50aiWJ-CenbTrd_qvYPE_To-z1BFnspi03jiAsjugmTR-MbefcfhIgqnJJ2N1RbcX14AgshBO6n3d/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vT50aiWJ-CenbTrd_qvYPE_To-z1BFnspi03jiAsjugmTR-MbefcfhIgqnJJ2N1RbcX14AgshBO6n3d/pubhtml,TRUE,"<div id=""F2"" class=""current-standings filterDiv divF""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT50aiWJ-CenbTrd_qvYPE_To-z1BFnspi03jiAsjugmTR-MbefcfhIgqnJJ2N1RbcX14AgshBO6n3d/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
F3,https://docs.google.com/forms/d/e/1FAIpQLSdyUNB-8rYcBudTUiykB9_xg-dC_6OCTWxOmdN1NUbzJ__zhQ/viewform,https://docs.google.com/spreadsheets/d/1p12uwgn3Gm2_LkhWc3h0r-gyg4oDujvIsJdXrJ5KP48,6,s49/f3,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSEnmoRq_OcMM3YwmHm5eCEwNFh6QvYTWRR7JYSupKE4Ziz_x4CEFD0r7wN8ia-Y4vtBxXyf4P0Rz3s/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vSEnmoRq_OcMM3YwmHm5eCEwNFh6QvYTWRR7JYSupKE4Ziz_x4CEFD0r7wN8ia-Y4vtBxXyf4P0Rz3s/pubhtml,TRUE,"<div id=""F3"" class=""current-standings filterDiv divF""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSEnmoRq_OcMM3YwmHm5eCEwNFh6QvYTWRR7JYSupKE4Ziz_x4CEFD0r7wN8ia-Y4vtBxXyf4P0Rz3s/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
F4,https://docs.google.com/forms/d/e/1FAIpQLSeLHoaEMuyW8oVevQSjBfWqKxS9KrDZO31ZIq7w5J4q9abMXQ/viewform,https://docs.google.com/spreadsheets/d/1PcyrgTDjX-6ClGGxtH0wNAlp3ZOVuXSz9JqaU0ky_bo,6,s49/f4,TRUE,TRUE,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQdIDlAMSCk68IKIAVHARqqxmbDiTU6E9runOSGAoAL8sQauHtiHwo6BhFVHSrB3P5miEtYt_FdiGO3/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe>",https://docs.google.com/spreadsheets/d/e/2PACX-1vQdIDlAMSCk68IKIAVHARqqxmbDiTU6E9runOSGAoAL8sQauHtiHwo6BhFVHSrB3P5miEtYt_FdiGO3/pubhtml,TRUE,"<div id=""F4"" class=""current-standings filterDiv divF""><iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQdIDlAMSCk68IKIAVHARqqxmbDiTU6E9runOSGAoAL8sQauHtiHwo6BhFVHSrB3P5miEtYt_FdiGO3/pubhtml?gid=1451526726&amp;single=true&amp;widget=true&amp;headers=false""></iframe></div>"
